id,variant_group,variant_num,chapter,chapter_label,chapter_name,chapter_icon,topic,topic_label,topic_icon,cat,pts,millionaire_val,difficulty,bloom_level,type,standard,learning_objective,tags,enabled,context_paragraph,reaction_equation,reaction_type,data_table,visual_type,visual_params,visual_type_2,visual_params_2,q,option_a,option_b,option_c,option_d,answer,answer_raw,answer_display,answer_sig_figs,tolerance,unit,answer_unit_type,given_keys,given_vals_display,randomizer_type,hint,sol_1,sol_2,sol_3,sol_4,notes,image_url,xp_value,time_limit,true_false_stmt,tf_answer,distractor_note,explanation,
tf_022,,1,ch11,Chapter 11,Acids and Bases,⚗️,equilibrium,Chemical Equilibrium,⚖️,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Concentrations are constant at equilibrium.,,,,,,,,,,,,,,,,Rates are equal,not necessarily equal concentrations.,,,,https://,2,0,Concentrations are constant at equilibrium.,TRUE,,,
tf_023,,1,ch11,Chapter 11,Acids and Bases,⚗️,equilibrium,Chemical Equilibrium,⚖️,Acids and Bases,200,,medium,apply,tf,,,,TRUE,,,,,,,,,Adding reactant shifts toward products (Le Châtelier),,,,,,,,,,,,,,,,System counteracts the stress.,,,,,https://,2,0,Adding reactant shifts toward products (Le Châtelier),TRUE,,,
tf_024,,1,ch11,Chapter 11,Acids and Bases,⚗️,equilibrium,Chemical Equilibrium,⚖️,Acids and Bases,200,,medium,apply,tf,,,,TRUE,,,,,,,,,For endothermic reactions,,,,,,,,,,,,,,,,Heat is treated as a reactant.,,,,,https://,2,0,For endothermic reactions,TRUE,,,
tf_025,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Conjugate acid is formed by accepting H⁺.,,,,,,,,,,,,,,,,Example: NH₃ + H⁺ → NH₄⁺.,,,,,https://,2,0,Conjugate acid is formed by accepting H⁺.,TRUE,,,
tf_026,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Buffers resist pH change.,,,,,,,,,,,,,,,,Usually contains weak acid + conjugate base.,,,,,https://,2,0,Buffers resist pH change.,TRUE,,,
tf_027,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Acids turn litmus red.,,,,,,,,,,,,,,,,Classic acid-base indicator.,,,,,https://,2,0,Acids turn litmus red.,TRUE,,,
tf_028,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Phenolphthalein is colorless in acid and pink in base.,,,,,,,,,,,,,,,,Common indicator for titrations.,,,,,https://,2,0,Phenolphthalein is colorless in acid and pink in base.,TRUE,,,
tf_029,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Ka << 1 for weak acids.,,,,,,,,,,,,,,,,Indicates limited dissociation.,,,,,https://,2,0,Ka << 1 for weak acids.,TRUE,,,
tf_030,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Strong acid → weak conjugate base.,,,,,,,,,,,,,,,,Inverse relationship between acid and conjugate base strength.,,,,,https://,2,0,Strong acid → weak conjugate base.,TRUE,,,
tf_031,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,HCl is a strong acid.,,,,,,,,,,,,,,,,Completely dissociates in water.,,,,,https://,2,0,HCl is a strong acid.,TRUE,,,
tf_032,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Acetic acid is weak.,,,,,,,,,,,,,,,,Only partially dissociates.,,,,,https://,2,0,Acetic acid is weak.,TRUE,,,
tf_033,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,NaOH is a strong base.,,,,,,,,,,,,,,,,Completely dissociates to Na⁺ and OH⁻.,,,,,https://,2,0,NaOH is a strong base.,TRUE,,,
tf_034,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Adding conjugate base shifts left (Le Châtelier),,,,,,,,,,,,,,,,Common ion effect.,,,,,https://,2,0,Adding conjugate base shifts left (Le Châtelier),TRUE,,,
tf_035,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Higher [H⁺] means lower pH.,,,,,,,,,,,,,,,,Inverse relationship between pH and [H⁺].,,,,,https://,2,0,Higher [H⁺] means lower pH.,TRUE,,,
tf_036,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Lower pH = more acidic.,,,,,,,,,,,,,,,,Each unit decrease in pH means 10× more [H⁺].,,,,,https://,2,0,Lower pH = more acidic.,TRUE,,,
tf_037,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Each pH unit = factor of 10 in [H⁺],,,,,,,,,,,,,,,,Logarithmic scale.,,,,,https://,2,0,Each pH unit = factor of 10 in [H⁺],TRUE,,,
tf_038,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Kb = [BH⁺][OH⁻]/[B] for weak bases.,,,,,,,,,,,,,,,,Analogous to Ka for acids.,,,,,https://,2,0,Kb = [BH⁺][OH⁻]/[B] for weak bases.,TRUE,,,
tf_039,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Larger pKb = weaker base.,,,,,,,,,,,,,,,,Higher pKb = smaller Kb.,,,,,https://,2,0,Larger pKb = weaker base.,TRUE,,,
tf_040,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,NH₃ is a weak base.,,,,,,,,,,,,,,,,Partial ionization in water.,,,,,https://,2,0,NH₃ is a weak base.,TRUE,,,
tf_041,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Equilibrium favors weaker acid/base side.,,,,,,,,,,,,,,,,Equilibrium lies toward the weaker species.,,,,,https://,2,0,Equilibrium favors weaker acid/base side.,TRUE,,,
tf_042,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Water self-ionization is at equilibrium.,,,,,,,,,,,,,,,,Kw describes this equilibrium.,,,,,https://,2,0,Water self-ionization is at equilibrium.,TRUE,,,
tf_043,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Acid decreases [OH⁻] while increasing [H⁺],,,,,,,,,,,,,,,,From Kw being constant.,,,,,https://,2,0,Acid decreases [OH⁻] while increasing [H⁺],TRUE,,,
tf_044,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,pH = 0 is strongly acidic.,,,,,,,,,,,,,,,,Very high [H⁺] concentration.,,,,,https://,2,0,pH = 0 is strongly acidic.,TRUE,,,
tf_045,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,pH = 14 is strongly basic.,,,,,,,,,,,,,,,,Very high [OH⁻] concentration.,,,,,https://,2,0,pH = 14 is strongly basic.,TRUE,,,
tf_046,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Strong acid pH is straightforward from concentration.,,,,,,,,,,,,,,,,For strong acids,[H⁺] = initial concentration.,,,,https://,2,0,Strong acid pH is straightforward from concentration.,TRUE,,,
tf_047,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Weak acid pH calculation uses Ka equilibrium.,,,,,,,,,,,,,,,,ICE table is usually needed.,,,,,https://,2,0,Weak acid pH calculation uses Ka equilibrium.,TRUE,,,
tf_048,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Le Châtelier applies to acid-base systems.,,,,,,,,,,,,,,,,Shifts occur with concentration or temperature changes.,,,,,https://,2,0,Le Châtelier applies to acid-base systems.,TRUE,,,
tf_049,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Acids taste sour.,,,,,,,,,,,,,,,,Common sensory property (do not taste in lab).,,,,,https://,2,0,Acids taste sour.,TRUE,,,
tf_050,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,easy,remember,tf,,,,TRUE,,,,,,,,,Bases feel slippery and taste bitter.,,,,,,,,,,,,,,,,Another classic property.,,,,,https://,2,0,Bases feel slippery and taste bitter.,TRUE,,,
tf_051,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Brønsted-Lowry: acids donate H⁺,,,,,,,,,,,,,,,,Broader than Arrhenius definition.,,,,,https://,2,0,Brønsted-Lowry: acids donate H⁺,TRUE,,,
tf_052,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Acids are substances that produce OH- ions in water.,,,,,,,,,,,,,,,,Acids produce H+ not OH-,,,,,https://,2,0,Acids are substances that produce OH- ions in water.,FALSE,,,
tf_053,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Bases are substances that produce H+ ions in water.,,,,,,,,,,,,,,,,Bases produce OH- not H+,,,,,https://,2,0,Bases are substances that produce H+ ions in water.,FALSE,,,
tf_054,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,The pH scale measures the temperature of a solution.,,,,,,,,,,,,,,,,pH measures acidity not temperature,,,,,https://,2,0,The pH scale measures the temperature of a solution.,FALSE,,,
tf_055,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,pH is the positive logarithm of the hydrogen ion concentration.,,,,,,,,,,,,,,,,pH = -log[H+],,,,,https://,2,0,pH is the positive logarithm of the hydrogen ion concentration.,FALSE,,,
tf_056,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,pOH is the negative logarithm of the hydrogen ion concentration.,,,,,,,,,,,,,,,,pOH = -log[OH-],,,,,https://,2,0,pOH is the negative logarithm of the hydrogen ion concentration.,FALSE,,,
tf_057,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,pH + pOH always equals 7 at 25C.,,,,,,,,,,,,,,,,pH + pOH = 14 at 25C,,,,,https://,2,0,pH + pOH always equals 7 at 25C.,FALSE,,,
tf_058,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,A solution with pH = 7 is acidic.,,,,,,,,,,,,,,,,pH 7 is neutral,,,,,https://,2,0,A solution with pH = 7 is acidic.,FALSE,,,
tf_059,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Acidic solutions have pH values greater than 7.,,,,,,,,,,,,,,,,Acids have pH less than 7,,,,,https://,2,0,Acidic solutions have pH values greater than 7.,FALSE,,,
tf_060,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Basic solutions have pH values less than 7.,,,,,,,,,,,,,,,,Bases have pH greater than 7,,,,,https://,2,0,Basic solutions have pH values less than 7.,FALSE,,,
tf_061,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Strong acids only partially dissociate in water.,,,,,,,,,,,,,,,,Strong acids dissociate 100%,,,,,https://,2,0,Strong acids only partially dissociate in water.,FALSE,,,
tf_062,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Weak acids completely dissociate in water.,,,,,,,,,,,,,,,,Weak acids dissociate only partially,,,,,https://,2,0,Weak acids completely dissociate in water.,FALSE,,,
tf_063,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,The conjugate base of a strong acid is a strong base.,,,,,,,,,,,,,,,,Conjugate base of strong acid is weak,,,,,https://,2,0,The conjugate base of a strong acid is a strong base.,FALSE,,,
tf_064,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Amphoteric substances can only act as acids.,,,,,,,,,,,,,,,,Amphoteric can act as acid or base,,,,,https://,2,0,Amphoteric substances can only act as acids.,FALSE,,,
tf_065,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Water can only act as an acid never as a base.,,,,,,,,,,,,,,,,Water acts as both acid and base,,,,,https://,2,0,Water can only act as an acid never as a base.,FALSE,,,
tf_066,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,The acid dissociation constant Ka is [HA]/[H+][A-].,,,,,,,,,,,,,,,,Ka = [H+][A-]/[HA],,,,,https://,2,0,The acid dissociation constant Ka is [HA]/[H+][A-].,FALSE,,,
tf_067,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,A smaller Ka value means a stronger acid.,,,,,,,,,,,,,,,,Larger Ka means stronger acid,,,,,https://,2,0,A smaller Ka value means a stronger acid.,FALSE,,,
tf_068,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,pKa is the positive logarithm of Ka.,,,,,,,,,,,,,,,,pKa = -log Ka,,,,,https://,2,0,pKa is the positive logarithm of Ka.,FALSE,,,
tf_069,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,The ion product of water Kw equals 1.0 times 10 to the -7 at 25C.,,,,,,,,,,,,,,,,Kw = 1.0e-14 at 25C,,,,,https://,2,0,The ion product of water Kw equals 1.0 times 10 to the -7 at 25C.,FALSE,,,
tf_070,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,In pure water at 25C [H+] equals [OH-] equals 1.0 times 10 to the -14 M.,,,,,,,,,,,,,,,,[H+] = [OH-] = 1e-7 in pure water,,,,,https://,2,0,In pure water at 25C [H+] equals [OH-] equals 1.0 times 10 to the -14 M.,FALSE,,,
tf_071,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,At chemical equilibrium the forward reaction stops completely.,,,,,,,,,,,,,,,,Equilibrium is dynamic forward and reverse continue,,,,,https://,2,0,At chemical equilibrium the forward reaction stops completely.,FALSE,,,
tf_072,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,At equilibrium the concentrations of reactants and products keep changing.,,,,,,,,,,,,,,,,Concentrations constant at equilibrium,,,,,https://,2,0,At equilibrium the concentrations of reactants and products keep changing.,FALSE,,,
tf_073,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,According to Le Chatelier adding more reactant shifts equilibrium toward the reactants.,,,,,,,,,,,,,,,,Adding reactant shifts to products,,,,,https://,2,0,According to Le Chatelier adding more reactant shifts equilibrium toward the reactants.,FALSE,,,
tf_074,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Increasing temperature of an endothermic reaction shifts equilibrium toward the reactants.,,,,,,,,,,,,,,,,Endothermic heat favors products,,,,,https://,2,0,Increasing temperature of an endothermic reaction shifts equilibrium toward the reactants.,FALSE,,,
tf_075,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,The conjugate acid of a base is formed when the base donates a proton.,,,,,,,,,,,,,,,,Base accepts proton to form conjugate acid,,,,,https://,2,0,The conjugate acid of a base is formed when the base donates a proton.,FALSE,,,
tf_076,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,A buffer solution changes pH dramatically when small amounts of acid or base are added.,,,,,,,,,,,,,,,,Buffers resist pH change,,,,,https://,2,0,A buffer solution changes pH dramatically when small amounts of acid or base are added.,FALSE,,,
tf_077,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Litmus paper turns blue in acidic solutions.,,,,,,,,,,,,,,,,Litmus turns red in acid,,,,,https://,2,0,Litmus paper turns blue in acidic solutions.,FALSE,,,
tf_078,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Phenolphthalein is pink in acidic solutions.,,,,,,,,,,,,,,,,Phenolphthalein colorless in acid pink in base,,,,,https://,2,0,Phenolphthalein is pink in acidic solutions.,FALSE,,,
