chapter,chapter_label,chapter_name,chapter_icon,topic,topic_label,topic_icon,type,enabled,word,definition,wordle_eligible,connections_category,formula,charge,charge_display,category,mnemonic,common_compounds,symbol,atomic_num,mass,family,period,group,common_charge,hint,mnemonic
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,BRONSTED-LOWRY ACID,Proton donor,TRUE,Acid Definitions|Definitions & Theories|Proton Transfer,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,BRONSTED-LOWRY BASE,Proton acceptor,TRUE,Base Definitions|Definitions & Theories|Proton Transfer,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,AMPHOTERIC,Can act as acid or base,TRUE,Amphoteric & Water|Definitions & Theories,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,CONJUGATE ACID-BASE PAIR,Species differing by one H+,FALSE,Conjugates|Conjugate Pairs|Definitions & Theories,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,CONJUGATE BASE,Formed when acid donates H+,TRUE,Conjugates|Conjugate Pairs,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,CONJUGATE ACID,Formed when base accepts H+,TRUE,Conjugates|Conjugate Pairs,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ph_poh,pH and pOH,📏,vocab,,PH,-log[H3O+]; acidity measure,FALSE,pH Scale Tools|pH Math|Log Scale,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ph_poh,pH and pOH,📏,vocab,,POH,-log[OH-]; basicity measure,FALSE,pH Scale Tools|pH Math|Log Scale,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ph_poh,pH and pOH,📏,vocab,,ION PRODUCT CONSTANT OF WATER (KW),Kw = [H3O+][OH-] = 1.0 × 10^{-14} at 25°C,FALSE,pH Scale Tools|Water Equilibrium|pH Math,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,STRONG ACID,Completely dissociates in water,TRUE,Strong vs Weak|Acid Strength Indicators|Strength & Dissociation,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,WEAK ACID,Partially dissociates in water,TRUE,Strong vs Weak|Acid Strength Indicators|Strength & Dissociation,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,STRONG BASE,Completely dissociates in water,TRUE,Strong vs Weak|Base Strength Indicators|Strength & Dissociation,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,WEAK BASE,Partially dissociates in water,TRUE,Strong vs Weak|Base Strength Indicators|Strength & Dissociation,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ka_kb,Ka and Kb,🔬,vocab,,ACID DISSOCIATION CONSTANT (KA),Ka = [H3O+][A-]/[HA] for weak acid,FALSE,Acid Strength Indicators|Equilibrium Constants|Ka Kb Calculations,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ka_kb,Ka and Kb,🔬,vocab,,BASE DISSOCIATION CONSTANT (KB),Kb = [BH+][OH-]/[B] for weak base,FALSE,Base Strength Indicators|Equilibrium Constants|Ka Kb Calculations,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ka_kb,Ka and Kb,🔬,vocab,,PKA,-log Ka; lower value = stronger acid,FALSE,Acid Strength Indicators|Strength & pKa|Log Scale|pKa / pKb Behavior,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ka_kb,Ka and Kb,🔬,vocab,,PKB,-log Kb; lower value = stronger base,FALSE,Base Strength Indicators|Log Scale|pKa / pKb Behavior,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,NEUTRAL SOLUTION,[H3O+] = [OH-]; pH = 7 at 25°C,TRUE,Solution Types|pH Scale Basics,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,ACIDIC SOLUTION,[H3O+] > [OH-]; pH < 7,TRUE,Solution Types|Acid Characteristics,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,BASIC SOLUTION,[OH-] > [H3O+]; pH > 7,TRUE,Solution Types|Base Characteristics,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,buffers,Buffers,🛡️,vocab,,BUFFER SOLUTION,Resists pH change; weak acid + conjugate base,TRUE,Solution Types|Buffer Components,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,HYDRONIUM ION (H3O+),Actual form of H+ in water,TRUE,Water Equilibrium|Ion-Related Terms|Amphoteric & Water,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,AUTOIONIZATION OF WATER,2H2O ⇌ H3O+ + OH-,TRUE,Water Equilibrium|Amphoteric & Water|Water-Related Equilibrium,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,PERCENT IONIZATION,([H3O+]/initial [HA]) × 100% for weak acids,TRUE,Strength & Dissociation|Acid Strength Indicators,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,LEWIS ACID,Electron pair acceptor,TRUE,Definitions & Theories,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,LEWIS BASE,Electron pair donor,TRUE,Definitions & Theories,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,POLYPROTIC ACID,Donates more than one H+,TRUE,Strength & Dissociation,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ph_poh,pH and pOH,📏,vocab,,PH + POH = 14,At 25°C in aqueous solutions,TRUE,pH Math,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ph_poh,pH and pOH,📏,vocab,,HYDROXIDE ION (OH-),OH- ion in solution,TRUE,Water Equilibrium|Ion-Related Terms|Base Characteristics,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,lechatelier,Le Chatelier’s Principle,⚖️,vocab,,SHIFT RIGHT,Equilibrium shifts toward products,TRUE,Le Châtelier Shifts|Direction of Shift,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,lechatelier,Le Chatelier’s Principle,⚖️,vocab,,SHIFT LEFT,Equilibrium shifts toward reactants,TRUE,Le Châtelier Shifts|Direction of Shift,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,lechatelier,Le Chatelier’s Principle,⚖️,vocab,,ADD REACTANT,Shifts toward products (Le Châtelier),TRUE,Common Stresses|Direction of Shift,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,lechatelier,Le Chatelier’s Principle,⚖️,vocab,,REMOVE PRODUCT,Shifts toward products (Le Châtelier),TRUE,Common Stresses|Direction of Shift,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,ka_kb,Ka and Kb,🔬,vocab,,KA X KB = KW,For conjugate acid-base pair,TRUE,Equilibrium Constants,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,buffers,Buffers,🛡️,vocab,,HENDERSON-HASSELBALCH,Equation for buffer pH: pH = pKa + log([A-]/[HA]),FALSE,Buffer Components,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,MONOPROTIC ACID,Donates one H+,TRUE,Strength & Dissociation,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,DIPROTIC ACID,Donates two H+,TRUE,Strength & Dissociation,,,,,,,,,,,,,,,
ch11,Chapter 11,Equilibrium,🧪,acids_bases,Acids and Bases,🧪,vocab,,ACID-BASE INDICATOR,Changes color with pH,TRUE,Solution Types,,,,,,,,,,,,,,,
